Unnamed: 0
CASEID
QUESTID2
CIGEVER
CIGOFRSM
CIGWILYR
CIGTRY
CIGYFU
CIGMFU
CIGREC
CIG30USE
CG30EST
CIG30AV
CIG30BR2
CIG30TPE
CIG30MEN
CIG30MLN
CIG30RO2
CIGDLYMO
CIGAGE
CIGDLYFU
CIGDLMFU
CIG100LF
SNFEVER
SNUFTRY
SNUFYFU
SNUFMFU
SNFREC
SNF30USE
SN30EST
SNF30BR2
CHEWEVER
CHEWTRY
CHEWYFU
CHEWMFU
CHEWREC
CHW30USE
CH30EST
CHW30BR2
SLTTRY
SLTYFU
SLTMFU
SLTREC
SLT30BR2
SLT30FAV
CIGAREVR
CIGARTRY
CIGARYFU
CIGARMFU
CIGARREC
CGR30USE
CI30EST
CGR30BR2
PIPEVER
PIPE30DY
ALCEVER
ALCTRY
ALCYFU
ALCMFU
ALCREC
ALCYRTOT
ALTOTFG
ALFQFLG
ALBSTWAY
ALDAYPYR
ALDAYPMO
ALDAYPWK
ALCDAYS
AL30EST
ALDYSFG
NODR30A
DR5DAY
MJEVER
MJAGE
MJYFU
MJMFU
MJREC
MJYRTOT
MRTOTFG
MJFQFLG
MRBSTWAY
MRDAYPYR
MRDAYPMO
MRDAYPWK
MJDAY30A
MR30EST
COCEVER
COCAGE
COCYFU
COCMFU
COCREC
COCYRTOT
CCTOTFG
CCFQFLG
CCBSTWAY
CCDAYPYR
CCDAYPMO
CCDAYPWK
COCUS30A
CC30EST
CRKEVER
CRKAGE
CRKYFU
CRKMFU
CRAKREC
CRKYRTOT
CRTOTFG
CRFQFLG
CRBSTWAY
CRDAYPYR
CRDAYPMO
CRDAYPWK
CRKUS30A
CR30EST
HEREVER
HERAGE
HERYFU
HERMFU
HERREC
HERYRTOT
HRTOTFG
HRFQFLG
HRBSTWAY
HRDAYPYR
HRDAYPMO
HRDAYPWK
HER30USE
HR30EST
LSD
PCP
PEYOTE
MESC
PSILCY
ECSTASY
HALNOLST
HALNEWA
HALNEWB
HALNEWC
HALNEWD
HALNEWE
HALLAGE
HALYFU
HALMFU
HALLREC
HALYRTOT
HLTOTFG
HLFQFLG
HLBSTWAY
HLDAYPYR
HLDAYPMO
HLDAYPWK
HAL30USE
HL30EST
LSDAGE
LSDYFU
LSDMFU
LSDREC
PCPAGE
PCPYFU
PCPMFU
PCPREC
ECSAGE
ECSYFU
ECSMFU
ECSREC
AMYLNIT
CLEFLU
GAS
GLUE
ETHER
SOLVENT
LGAS
NITOXID
SPPAINT
AEROS
INHNOLST
INHNEWA
INHNEWB
INHNEWC
INHNEWD
INHNEWE
INHEVER
INHAGE
INHYFU
INHMFU
INHREC
INHYRTOT
INTOTFG
INFQFLG
INBSTWAY
INDAYPYR
INDAYPMO
INDAYPWK
INHDY30A
IN30EST
DARVTYLC
PERCTYLX
VICOLOR
ANLCARD
CODEINE
DEMEROL
DILAUD
FIORICET
FIORINAL
HYDROCOD
METHDON
MORPHINE
OXYCONTN
PHENCOD
PROPOXY
SK65A
STADOL
TALACEN
TALWIN
TALWINNX
TRAMADOL
ULTRAM
ANLNOLST
ANALNEWA
ANALNEWB
ANALNEWC
ANALNEWD
ANALNEWE
ANLEVER
ANALAGE
ANALYFU
ANALMFU
ANALREC
ANLYRTOT
PRTOTFG
PRFQFLG
PRBSTWAY
PRDAYPYR
PRDAYPMO
PRDAYPWK
OXYCAGE
OXYCYFU
OXYCMFU
OXYCREC
OXYYRTOT
OXTOTFG
OXFQFLG
OXBSTWAY
OXDAYPYR
OXDAYPMO
OXDAYPWK
KLONOPIN
XNAXATVN
VALMDIAZ
TRNCARD
ATARAX
BUSPAR
EQUANIL
FLEXERIL
LIBRIUM
LIMBTROL
MEPROB
MILTOWN
ROHYPNOL
SERAX
SOMA
TRANXENE
VISTAR
TRNOLST
TRNEWA
TRNEWB
TRNEWC
TRNEWD
TRNEWE
TRNEVER
TRANAGE
TRANYFU
TRANMFU
TRANREC
TRNYRTOT
TRTOTFG
TRFQFLG
